Accession,Title,Count
GSE41782,A genome-wide comparative study of DNA methylation in great apes,32
GSE951,"267B1, PC3M, LNCaP Methylation Profile vs. mRNA Expression Level",14
GSE2138,Colon cancer profiling,40
GSE3280,Expression profiling of leukemia cell lines,4
GSE4717,5`aza-dC demethylation of three short term cultured glioblastomas,12
GSE7454,Modulation of gene expression by decitabine in U-2OS cells in vitro and in vivo,4
GSE7687,Methylation-silenced genes in colorectal cancer cell lines,4
GSE9015,Genome-Wide Mapping of Hypomethylated Sites in Human Genomes,8
GSE10504,Using ChIP-chip technology to reveal common principles of transcriptional repression in normal and cancer cells,47
GSE15745,Abundant Quantitative Trait Loci for CpG Methylation and Expression Across Human Brain Tissues,1658
GSE16559,Lung adenocarcinoma and mesothelioma DNA methylation,285
GSE17448,Methylation Pattern of Human Mesenchymal Stromal Cells ,16
GSE17648,Epigenomic Analysis of Aberrantly Methylated Genes in Colorectal Cancer,44
GSE17769,An integrative multi-dimensional genetic and epigenetic strategy to identify aberrant genes and pathways in cancer: DNA methylation,10
GSE18081,"CpG site methylation of HCV-cirrhotic, HCV-HCC, and normal liver tissues",87
GSE18458,Genome wide DNA Methylation Study in Cornelia de Lange Syndrome,72
GSE19033,Changes in the Pattern of DNA Methylation Associate with Twin Discordance in SLE,59
GSE19034,EYA4 is a non-small cell lung cancer tumor suppressor located in the susceptibility locus on chromosome 6q,90
GSE19434,DNA methylation distinguishes pathologically normal human tissues,217
GSE19515,Illumina GoldenGate Methylation array data for X-CGD patients and healthy controls,27
GSE19711,Genome wide DNA methylation profiling of United Kingdom Ovarian Cancer Population Study (UKOPS),540
GSE19974,Systematic evaluation of genome-wide methylated DNA enrichment using a CpG island array,17
GSE20067,Genome wide DNA methylation profiling of diabetic nephropathy in type 1 diabetes mellitus,195
GSE20080,Epigenome analysis of normal and preinvasive cervical smear samples,48
GSE20236,Human Aging-associated DNA Hypermethylation Occurs Preferentially at Bivalent Chromatin Domains,93
GSE20242,Human Aging-associated DNA Hypermethylation Occurs Preferentially at Bivalent Chromatin Domains,50
GSE20395,IDH1 mutation defines methylation class and survival in human glioma,138
GSE20712,Epigenetic portraits of human breast cancers (methylation data),123
GSE20713,Epigenetic portraits of human breast cancers,381
GSE20742,Genetic and Epigenetic Somatic Alterations in Head and Neck Squamous Cell Carcinomas Are Globally Coordinated but Not Locally Targeted (GoldenGate methylation),30
GSE20868,Epigenetic portraits of human breast cancers (HCT116 cell line data),6
GSE20872,Methylation data from Down syndrome and non-Down syndrome pediatric acute lymphoblastic leukemia cases and controls,23
GSE20873,Proof of principle of novel technique of methylation analysis,5
GSE20945,Effects of DAC treatment,55
GSE20989,Mesothelioma integrative genomics: DNA methylation,23
GSE21058,Integrated profiling reveals a global correlation between epigenetic and genetic alterations in mesothelioma,115
GSE21094,Genomic profiling in Down syndrome pediatric acute lymphoblastic leukemia,233
GSE21181,Differential methylation profiling of colon tumors,26
GSE21232,DNA methylation profiling of male human pancreatic islets identifies loci for type 2 diabetes,16
GSE21282,Epigenetic and immune function profiles associated with post-traumatic stress disorder,106
GSE21304,Aberrant global methylation patterns affect the molecular pathogenesis and prognosis of human multiple myeloma,190
GSE21395,Global methylation profiling of lymphoblastoid cell lines reveals epigenetic contributions to autism spectrum disorders,31
GSE21541,An integrative multi-dimensional genetic and epigenetic strategy to identify aberrant genes and pathways in cancer,45
GSE21554,An integrated genomic and expression analysis of 7q deletion in splenic marginal zone lymphoma (Main Study),69
GSE22091,A Novel Approach Identifies New Differentially Methylated Regions (DMRs) Associated with Imprinted Genes,26
GSE22135,DNA methylation epigenotypes in Breast Cancer Molecular Subtypes,60
GSE22210,Molecular subtypes of breast cancer are associated with characteristic DNA methylation patterns,193
GSE22249,Epigenetic portraits of human breast cancers (methylation data 2),125
GSE22281,Epigenetic portraits of human breast cancers (various cell lines methylation data),19
GSE22290,Breast tumor DNA methylation,162
GSE22595,Methylation Pattern of Human Dermal Fibroblasts ,15
GSE22867,DNA Methylation Profiling of Glioblastoma: Impact on Gene Expression and Clinical Outcome (Illumina),60
GSE22874,Prognostic Gene Expression Signature of Carcinoma Associated Fibroblasts in Non-Small Cell Lung Cancer,78
GSE22891,DNA Methylation Profiling of Glioblastoma: Impact on Gene Expression and Clinical Outcome,106
GSE23311,DNA Methylation Analysis in Human Chorionic Villus and Maternal Blood Cells,48
GSE23388,DNA methylation and expression profiling study for prostate cancer,8
GSE23638,Genome-wide analysis of autosomal sex differences in human DNA methylome,24
GSE23693,Aberrant silencing of cancer-related genes by CpG hypermethylation occurs independently of their spatial organization in the nucleus,11
GSE23789,DNA methylation titration data from two samples with known methylation differences,8
GSE24087,Epigenome analysis in HPV(-) and HPV(+) squamous cell carcinoma cell lines,4
GSE24091,Expression and methylation analyses of HPV(-) and HPV(+) squamous cell carcinoma cell lines,36
GSE24676,DNA Methylation Dynamics in Human Induced Pluripotent Stem Cells over Time,47
GSE24787,Promoter methylation in HNSCC tumor cell lines is significantly different from primary tumors and xenografts,22
GSE24884,Methylation RIKEN-cohort,56
GSE25033,Progression Free Survival in Ovarian Cancer is Reflected in Epigenetic DNA-Methylation Profiles,20
GSE25047,Identification of DNA Methylation Markers for Lineage Commitment of in vitro Hepatogenesis [methylation profiling],9
GSE25048,Identification of DNA Methylation Markers for Lineage Commitment of in vitro Hepatogenesis,21
GSE25062,Genome-scale analysis of aberrant DNA methylation in colorectal cancer,154
GSE25083,Global hypomethylation identifies loci targeted for hypermethylation in head and neck cancer: normal head and neck tissue,18
GSE25089,Global hypomethylation identifies loci targeted for hypermethylation in head and neck cancer: HNSCC,91
GSE25091,Global hypomethylation identifies loci targeted for hypermethylation in head and neck cancer: blood controls,213
GSE25093,Global hypomethylation identifies loci targeted for hypermethylation in head and neck cancer,322
GSE25283,DNA methylation profiling of somatic tissues from normal and trisomic fetuses,60
GSE25301,Obesity related methylation changes in DNA of peripheral blood leukocytes,14
GSE25395,Altered DNA Methylation in Leukocytes with Trisomy 21,60
GSE25402,Adipose Tissue MicroRNAs as Regulators of CCL2 Production in Human Obesity,148
GSE25538,EQUIVALENCE OF CONVENTIONALLY-DERIVED AND PARTHENOTE-DERIVED HUMAN EMBRYONIC STEM CELLS,39
GSE25706,Epigenome analysis of patients with various myeloid malignancies including differential levels of 5-hydroxymethylcytosine,81
GSE25869,DNA methylation represents one of the key regulator that transcriptional control of highly expressed genes in gastric cancer.,75
GSE25892,Epigenetic Vestiges of Early Developmental Adversity: Child Stress Exposure and Adolescent DNA Methylation,109
GSE25966,Genome-wide Mapping of Imprinted Genes by DNA Methylation Profiling of Human Placentas from Triploidies,20
GSE26033,A Genome-wide Study of DNA Methylation Patterns and Gene Expression Levels in Multiple Human and Chimpanzee Tissues,71
GSE26126,DNA methylation profiling reveals novel biomarkers and important roles for DNA methyltransferases in prostate cancer,193
GSE26133,DNA methylation patterns associate with genetic and gene expression variation in HapMap cell lines,160
GSE26164,Regulation of DNA methylation by CK2-mediated phosphorylation of DNMT3A (Beadchip),6
GSE26211,The effects of EBV transformation on methylation levels,96
GSE26212,The effects of EBV transformation on gene expression and methylation levels,192
GSE26319,Epigenome analysis of normal and cancer tissues in prostate cancer,2
GSE26349,Breast Cancer Methylomes Establish an Epigenomic Foundation for Metastasis,60
GSE26433,Coordinated Chromatin Remodeling induced by Demethylation requires SRCAP mediated H2A.Z exchange [Methylation],4
GSE26519,Replicative senescence of mesenchymal stem cells causes DNA methylation changes which correlate with repressive histone marks,8
GSE26543,"The influence of aging, environmental exposures and local sequence features on the variation of DNA methylation in blood",205
GSE26683,Wide ranging DNA methylation differences of primary trophoblast cell populations and derived-cell lines,15
GSE26685,Coordinated Chromatin Remodeling induced by Demethylation requires SRCAP mediated H2A.Z exchange,12
GSE26784,Identification of a methylome signature of esophageal squamous cell carcinoma ,24
GSE26791,The HDAC inhibitor panobinostat (LBH589) inhibits Acute Lymphoblastic leukemia (ALL) in vitro and in vivo in a new characterized human ALL mice model (Illumina),12
GSE26807,The HDAC inhibitor panobinostat (LBH589) inhibits Acute Lymphoblastic leukemia (ALL) in vitro and in vivo in a new characterized human ALL mice model,36
GSE26974,Sperm DNA methylation,21
GSE26982,Integrative DNA methylation and gene expression analyses identify DNA packaging and epigenetic regulatory genes associated with low motility sperm,39
GSE26989,DNA methylation analysis of ovarian cancers and normal peripheral blood lymphocyte DNA by Illumina Infinium platform,53
GSE26990,Analysis of Promoter Methylation in Breast Cancer,107
GSE27044,Methylation Profiling of Blood DNA from Sibling Discordant for Autism,1128
GSE27097,Pediatric age-associated DNA methylation,494
GSE27130,Anti-cancer drug sensitive DNA methylation marker research,248
GSE27146,Population-specificity of human DNA methylation,180
GSE27226,HDACI and DAC induce specific epigenetic profile in DLBCL,24
GSE27284,Prognostic Gene Expression Signature of Carcinoma Associated Fibroblasts in Non-Small Cell Lung Cancer [methylation profiling],10
GSE27317,Correlation between maternal age and newborn DNA methylation,168
GSE27860,Genome wide analysis reveals association of a FTO gene variant with epigenetic changes of several genes in human blood,47
GSE27895,Global DNA methylation profiling of CD4+ T cells from patients with systemic lupus erythematosus,23
GSE27899,Methylation profiling in Ulcerative colitis,40
GSE27902,Non-small-cell lung tumor and normal lung tissue methylation,94
GSE28094,"A DNA Methylation Fingerprint of  1,628 Human Samples",1628
GSE28217,NID2 and HOXA9 promoter hypermethylation as biomarkers to prevent and detect Oral Cavity Squamous Cell Carcinoma,12
GSE28356,DNA Methylation Profiling of Melanoma Cell Lines,12
GSE28368,DNA methylation data from nasal epithelial cells of human smokers and nonsmokers,12
GSE28461,Promoter methylation data from ALL diagnosis and relapse pediatric acute lymphoblastic leukemia cases,68
GSE28462,Integrated Genomic Analysis of Relapsed Childhood Acute Lymphoblastic Leukemia reveals therapeutic strategies,166
GSE28525,Methylation screening of reciprocal genome-wide UPDs identifies novel human specific imprinted genes,15
GSE28647,Genome-wide Methylation Profiling Identifies Candidate DNA Methylation Drivers of Acquired Cisplatin Resistance in Ovarian Cancer.,31
GSE28648,Genome-wide methylation and expression profiling study identifies candidate DNA methylation drivers of acquired cisplatin resistance in ovarian cancer.,46
GSE28746,"Epigenome analysis of male identical twin pairs discordant for sexual orientation, age 21 to 55.",84
GSE29047,CpG methylation patterns and decitabine treatment response in acute myeloid leukemia cells and normal hematopoietic precursors,208
GSE29189,Genome-scale DNA methylation profiling of TEL/AML positive childhood acute lymphoblastic leukaemia,48
GSE29225,Depletion of RUNX1/ETO in t(8;21) AML cells leads to genome-wide changes in chromatin structure and transcription factor binding,38
GSE29428,A methyl-deviator epigenotype of estrogen-receptor-positive breast carcinoma is associated with malignant biology,397
GSE29490,A Genome-wide DNA Methylation Study in Colorectal Carcinoma,48
GSE29499,Epigenetic analysis of gastric cancer cell lines,40
GSE29661,Cellular aging can be monitored by DNA-methylation changes at specific CpG sites,12
GSE29872,Cancer-related epigenome changes associated with reprogramming to induced pluripotent stem cells (methylation data),32
GSE29873,Cancer-related epigenome changes associated with reprogramming to induced pluripotent stem cells,63
GSE29895,Global Methylation Patterns in Idiopathic Pulmonary Fibrosis,32
GSE30090,A promoter DNA demethylation landscape of human hematopoietic differentiation,34
GSE30229,Peripheral blood DNA methylation profiles are predictive of head and neck squamous cell carcinoma,184
GSE30456,Maintenance of hESCs in mesenchymal stem cell-conditioned media augments hematopoietic specification,6
GSE30601,Epigenetic analysis of gastric cancer,297
GSE30640,Changes in DNA methylation In cultered WI-38 cells over passages,5
GSE30653,Recurrent Variations in DNA Methylation in Human Pluripotent Stem Cells and their Differentiated Derivatives [Illumina Infinium 27K DNA Methylation],283
GSE30654,Recurrent Variations in DNA Methylation in Human Pluripotent Stem Cells and their Differentiated Derivatives,675
GSE30758,Epigenome analysis of normal cells from the uterine cervix in a nested prospective case control study within the ARTISTIC trial,152
GSE30759,Epigenome analysis of normal and cancer tissue from the uterine cervix,63
GSE30760,Cervical cancer,215
GSE30870,DNA methylomes of Newborns and Nonagenarians,40
GSE31133,DNA methylation alterations and transcriptional gene silencing induced by IDH1 R132H mutation [Illumina],14
GSE31134,DNA methylation alterations and transcriptional gene silencing induced by IDH1 R132H mutation,20
GSE31362,Androgen receptor function links human sexual dimorphism to DNA methylation,62
GSE31438,The DNA Methylomes of a Newborn and a Centenarian,14
GSE31600,TET2 mutations are associated with specific methylation profiles in patients with Chronic Myelomonocytic Leukemia,32
GSE31680,Methylome of Fetal and Maternal Monocytes and Macrophages at the Feto-Maternal Interface,24
GSE31699,Relationship between Genome-Wide DNA Methylation and Gene Expression in Uterine Leiomyoma,68
GSE31770,Epigenetic Impact of Long-Term Shiftwork:  Poly Evidence from Cricadian Genes and Whole-Genome Methylation Analyses,20
GSE31781,Evidence for widespread changes in promoter methylation profile in human placenta in response to increasing gestational age and environmental/stochastic factors.,42
GSE31788,"Aberrant DNA methylation epigenotype expanding to non-polycomb target genes, induced by Epstein-Barr virus infection in human gastric cancer [Illumina Methylation]",80
GSE31789,"DNA methylation epigenotype expanding to non-polycomb target genes, induced by Epstein-Barr virus infection in human gastric cancer",84
GSE31826,"Methylation analysis of samples from a phase II clinical trial of decitatbine in combination with carboplatin in patients with recurrent, platinum resistant epithelial ovarian cancer",56
GSE31835,Global methylation analysis of psoriatic (involved and uninvolved) and control skin,37
GSE31848,Recurrent Variations in DNA Methylation in Human Pluripotent Stem Cells and their Differentiated Derivatives [Illumina Infinium 450K DNA Methylation],153
GSE31979,Genome-wide methylation analysis detects genes specific to breast cancer hormone receptor status and risk of recurrence,124
GSE32250,Epigenetic Disruption of Cadherin-11 in human cancer metastasis,4
GSE32251,Prognostic DNA Methylation Patterns in Cytogenetically Normal Acute Myeloid Leukemia are predefined by Stem Cell Chromatin Marks [methylation],89
GSE32252,Prognostic DNA Methylation Patterns in CN-AML; a genome wide methylation and gene expression study,99
GSE32275,Analysis of DNA methylation profiles in colorectal cancer cells treated with boswellic acids,3
GSE32276,Boswellic acid induced changes in gene expression and methylation in colorectal cancer cells,5
GSE32393,Epigenome analysis of breast tissue from women with and without breast cancer.,137
GSE32396,Epigenome analysis of white blood cells from healthy women with and without BRCA1 mutation.,60
GSE32861,Genome-scale analysis of DNA methylation in lung adenocarcinoma and integration with mRNA expression,118
GSE32866,Genome-scale DNA methylation profiling of lung adenocarcinoma: validation using Ontario Tumor Bank samples,55
GSE32867,DNA methylation and gene expression in lung adenocarcinoma,289
GSE32925,Using DNA methylation to detect dysplasia/early neoplasia in Barrett's carcinogenesis,48
GSE33065,Genome-wide DNA methylation profiling of CpG islands in breast cancer,47
GSE33181,Feasibility and Interpretation of the Genome-wide Infinium Methylation Data Derived from Ligated Formalin Fixed Paraffin Embedded Paired Tumor and Normal Tissue.,48
GSE33202,Cancer Outlier Gene Profile Sets Elucidate Pathways and Patient-Specific Targets in Head and Neck Squamous Cell Carcinoma [Illumina HumanMethylation],77
GSE33232,Cancer Outlier Gene Profile Sets Elucidate Pathways and Patient-Specific Targets in Head and Neck Squamous Cell Carcinoma,284
GSE33422,Epigenome analysis of endometrium tissue from women with metastatic endometrial cancer.,18
GSE33445,DNA hypermethylation in breast cancer: breast cancer tissues vs. normal breast tissues,20
GSE33450,DNA hypermethylation and gene expression in breast cancer: breast cancer tissues vs. normal breast tissues,36
GSE33510,DNA methylation analyses of urothelial carcinoma reveal distinct epigenetic subtypes and an association between gene copy number and methylation status,156
GSE33545,DNA hypermethylation in colorectal cancer: Colorectal cancer tissues vs. Adjacent non-tumor tissues,6
GSE33614,Methylation analysis of cancer and control samples.,158
GSE33896,Genome-wide CpG methylation during osteogenic and myogenic differentiation from adipose- derived stem cells.,16
GSE34008,Epigenome analysis of genomic DNA isolated from whole blood of non-diabetic control and type-2 diabetic individuals,24
GSE34035,Epigenome analysis of saliva samples from alcohol users,197
GSE34068,"Widespread monoallelic methylation of colorectal cancer associated tumour suppressor genes, including multiple Wnt pathway inhibitors, in Hyperplastic Polyposis Syndrome.",15
GSE34099,Epigenome analysis of control and neurodevelopmental disorder lymphoblastoid cell lines,65
GSE34174,Whole Genome Methylation Analysis of Metastatic Castration Resistant Prostate Cancer,30
GSE34200,The NIH Human Pluripotent Stem Cell Database,354
GSE34257,The effect of periconceptional micronutrient supplementation on offspring DNA methylation,84
GSE34355,Clonal Selection Drives Genetic Divergence of Metastatic Medulloblastoma [Illumina Infinium HumanMethylation27 Beadchip v1.2],19
GSE34356,Clonal Selection Drives Genetic Divergence of Metastatic Medulloblastoma,36
GSE34387,Oncogenic SDH mutation underlies global epigenomic instability in gastrointestinal stromal tumor,220
GSE34639,Methylation data from CD4+ cells at birth and 12 months from a cohort of children who were diagnosed with IgE food allergy to either egg milk or peanut at 12 months (n=12) and healthy controls (n=12).,48
GSE34869,"The NIH Human Pluripotent Stem Cell Database (Illumina, methylation)",24
GSE35069,Differential DNA Methylation in Purified Human Blood Cells,60
GSE35146,Epigenome analysis of normal and IPF lung tissue samples,6
GSE35147,Altered DNA Methylation Profile in Idiopathic Pulmonary Fibrosis,14
GSE35222,"Prenatal smoke exposure, DNA methylation, and childhood atopic disorders",14
GSE35245,Genistein Cooperates with the Histone Deacetylase Inhibitor Vorinostat to Induce Cell Death in Prostate Cancer Cells (methylation data),22
GSE35246,Genistein Cooperates with the Histone Deacetylase Inhibitor Vorinostat to Induce Cell Death in Prostate Cancer Cells,58
GSE35327,Array-based DNA-methylation profiling of fetal tissues obtained by routine invasive prenatal testing (chorionic and amniotic samples),63
GSE35424,An integrated genomic and expression analysis of 7q deletion in SMZL (Illumina Infinium Human Methylation 27 array),24
GSE35912,Reversal of Aberrant Cancer Methylome and Transcriptome upon Direct Reprogramming of Lung Cancer Cells [Methylation],24
GSE35913,Reversal of Aberrant Cancer Methylome and Transcriptome upon Direct Reprogramming of Lung Cancer Cells.,48
GSE35997,DNA hypermethylation in placental tissues: placental tissues vs. maternal peripheral bloods,8
GSE36002,Integrative analysis reveals relationships of genetic and epigenetic alterations in osteosarcoma [methylation],25
GSE36004,Integrative analysis reveals relationships of genetic and epigenetic alterations in osteosarcoma.,69
GSE36054,Methylation Profiling of Blood DNA from Healthy Children,192
GSE36064,Methylation Profiling of Blood DNA from Healthy Children (Harvard Age Study),78
GSE36166,Epigenetic analysis of healthy young men following a control and high-fat overfeeding diet,44
GSE36194,North American Brain Expression Consortium: DNA Methylation,724
GSE36195,cirDNA methylome analysis in prostate cancer,118
GSE36216,DNA Methylation Profiling Defines Clinically Relevant Biological Subsets of Non-small Cell Lung Cancer,75
GSE36353,Genome wide DNA Methylation analysis of benign and malignant adrenocortical tumors,48
GSE36369,DNA methylation contributes to natural human variation,322
GSE36534,DNA methylation screening identifies driver epigenetic events of cancer cell survival.,3
GSE36580,AcceSssIble: an array-based assay for the study of chromatin accessibility and DNA methylation using the CpG methyltransferase SssI,10
GSE36637,Aberrant promoter methylation and expression of UTF1 during cervix carcinogenesis,9
GSE36642,Neonatal DNA methylation profile in humans is specified by a complex interplay between intrauterine environmental/ genetic factors subject to tissue-specific influence,123
GSE36812,Epigenome analysis of cord blood samples from newborns,48
GSE36829,Epigenome analysis of placenta samples from newborns,48
GSE36831,DNA methylation and gene expression differences at growth related genes correlate with birth weight.,284
GSE36832,DNA Methylation Dynamics in Blood after Hematopoietic Cell Transplant,6
GSE36852,Epigenome analysis of newborn placenta and cord blood samples,92
GSE36857,Goldengate Methylation analysis: Ewing Sarcoma,146
GSE36859,Ewing Sarcoma,158
GSE37008,Factors underlying variable DNA methylation in a human community cohort,99
GSE37020,Epigenome analysis of smear cells from the uterine cervix consisting of 24 normals and 24 cervical intraepithelial neoplasias (all HPV+),48
GSE37633,Epigenome analysis of normal and DDX20 knockdown HepG2 cells,2
GSE37722,Normal early pregnancy: a transient state of epigenetic change favoring hypomethylation,84
GSE37740,Intermediate- and low-methylation epigenotypes do not correspond to CpG island methylator phenotype (low and -zero) in colorectal cancer.,21
GSE37754,Molecular Profiles of Human Breast Cancer and Their Association with Tumor Subtypes and Disease Prognosis (Illumina),72
GSE37816,DNA methylation and expression profiling study for bladder cancer [methylation],24
GSE37817,DNA methylation and expression profiling study for bladder cancer,48
GSE37853,"DNA Methylation Profiles of Airway Epithelial Cells and PBMCs from Healthy, Atopic and Asthmatic Children.",41
GSE37966,Guthrie card methylomics identifies temporally stable epialleles that are present at birth in humans (Methylation BeadChip),7
GSE37988,Methylation in Taiwanese HCC tumor and adjacent tissues,124
GSE38128,Guthrie card methylomics identifies temporally stable epialleles that are present at birth in humans,13
